ID,s1_path,s2_path,s1_gain,s2_gain,enr_path
0,/mnt/data/wsj0.8k/si_et_05/445/445c0206.wav,/mnt/data/wsj0.8k/si_dt_05/22g/22gc0105.wav,0.60431,-0.60431,/mnt/data/wsj0.8k/si_et_05/445/445o030e.wav
1,/mnt/data/wsj0.8k/si_dt_05/420/420c020h.wav,/mnt/data/wsj0.8k/si_et_05/442/442c0203.wav,1.1139,-1.1139,/mnt/data/wsj0.8k/si_dt_05/420/420c020u.wav
2,/mnt/data/wsj0.8k/si_dt_05/22g/22go0107.wav,/mnt/data/wsj0.8k/si_dt_05/051/051c010u.wav,0.079969,-0.079969,/mnt/data/wsj0.8k/si_dt_05/22g/22go010n.wav
3,/mnt/data/wsj0.8k/si_et_05/444/444o0314.wav,/mnt/data/wsj0.8k/si_dt_05/053/053o020e.wav,2.1819,-2.1819,/mnt/data/wsj0.8k/si_et_05/444/444o030p.wav
4,/mnt/data/wsj0.8k/si_dt_05/423/423o0304.wav,/mnt/data/wsj0.8k/si_dt_05/420/420c020x.wav,1.419,-1.419,/mnt/data/wsj0.8k/si_dt_05/423/423a010e.wav
5,/mnt/data/wsj0.8k/si_dt_05/423/423o030b.wav,/mnt/data/wsj0.8k/si_dt_05/053/053o0209.wav,1.4753,-1.4753,/mnt/data/wsj0.8k/si_dt_05/423/423a010z.wav
6,/mnt/data/wsj0.8k/si_et_05/441/441o030o.wav,/mnt/data/wsj0.8k/si_et_05/445/445c020y.wav,1.9903,-1.9903,/mnt/data/wsj0.8k/si_et_05/441/441o030t.wav
7,/mnt/data/wsj0.8k/si_dt_05/22g/22ga010u.wav,/mnt/data/wsj0.8k/si_et_05/443/443o030l.wav,0.43921,-0.43921,/mnt/data/wsj0.8k/si_dt_05/22g/22ga010z.wav
8,/mnt/data/wsj0.8k/si_et_05/444/444o030e.wav,/mnt/data/wsj0.8k/si_et_05/443/443o0304.wav,0.90493,-0.90493,/mnt/data/wsj0.8k/si_et_05/444/444o030s.wav
9,/mnt/data/wsj0.8k/si_et_05/440/440c0209.wav,/mnt/data/wsj0.8k/si_dt_05/421/421a0104.wav,1.2048,-1.2048,/mnt/data/wsj0.8k/si_et_05/440/440c020b.wav
10,/mnt/data/wsj0.8k/si_et_05/445/445c020u.wav,/mnt/data/wsj0.8k/si_et_05/443/443o030p.wav,0.78863,-0.78863,/mnt/data/wsj0.8k/si_et_05/445/445c020d.wav
11,/mnt/data/wsj0.8k/si_et_05/440/440c020t.wav,/mnt/data/wsj0.8k/si_dt_05/053/053o020y.wav,2.1632,-2.1632,/mnt/data/wsj0.8k/si_et_05/440/440c020j.wav
12,/mnt/data/wsj0.8k/si_et_05/440/440c0213.wav,/mnt/data/wsj0.8k/si_et_05/441/441o030b.wav,1.7151,-1.7151,/mnt/data/wsj0.8k/si_et_05/440/440c0203.wav
13,/mnt/data/wsj0.8k/si_dt_05/052/052a0513.wav,/mnt/data/wsj0.8k/si_dt_05/053/053a050f.wav,1.7991,-1.7991,/mnt/data/wsj0.8k/si_dt_05/052/052c010i.wav
